,index,Date,Temperature,Weather Condition
0,205,2/12/2016,20.53,Mostly Cloudy
1,62,2/17/2016,32.76,Overcast
2,147,3/3/2016,34.11,Partly Cloudy
3,78,4/4/2016,50.96,Light Rain
4,203,4/8/2016,39.39,Overcast
5,201,4/10/2016,32.63,Overcast
6,202,4/12/2016,47.32,Clear
7,204,4/13/2016,48.68,Clear
8,72,4/24/2016,61.07,Clear
9,192,4/28/2016,55.72,Light Rain
10,20,7/2/2016,71.12,Clear
11,48,7/7/2016,75.49,Overcast
12,57,7/9/2016,81.09,Mostly Cloudy
13,53,7/11/2016,82.07,Clear
14,21,7/14/2016,84.1,Partly Cloudy
15,56,7/16/2016,78.5,Partly Cloudy
16,80,7/18/2016,78.84,Mostly Cloudy
17,64,7/20/2016,78.56,Clear
18,65,7/22/2016,76.98,Overcast
19,19,7/25/2016,89.61,Humid and Mostly Cloudy
20,58,7/26/2016,83.7,Clear
21,61,7/29/2016,77.43,Overcast
22,43,8/1/2016,82.15,Mostly Cloudy
23,18,8/2/2016,82.64,Partly Cloudy
24,1,8/3/2016,82.5,Partly Cloudy
25,30,8/4/2016,80.46,Mostly Cloudy
26,2,8/5/2016,82.72,Mostly Cloudy
27,3,8/6/2016,80.12,Overcast
28,7,8/7/2016,80.16,Clear
29,39,8/8/2016,76.72,Clear
30,37,8/9/2016,84.44,Mostly Cloudy
31,38,8/10/2016,86.24,Humid
32,6,8/11/2016,86.65,Humid and Mostly Cloudy
33,12,8/12/2016,85.38,Humid and Mostly Cloudy
34,8,8/13/2016,86.77,Humid and Mostly Cloudy
35,29,8/14/2016,82.09,Humid and Overcast
36,4,8/15/2016,77.94,Drizzle
37,5,8/16/2016,84.5,Humid and Partly Cloudy
38,24,8/17/2016,77,Overcast
39,32,8/18/2016,79.68,Mostly Cloudy
40,42,8/19/2016,81.56,Mostly Cloudy
41,27,8/20/2016,81.36,Humid and Mostly Cloudy
42,10,8/21/2016,75.8,Mostly Cloudy
43,9,8/22/2016,72.73,Mostly Cloudy
44,44,8/23/2016,78.45,Partly Cloudy
45,0,8/24/2016,80.46,Clear
46,45,8/25/2016,81.85,Humid and Overcast
47,34,8/26/2016,83.57,Humid and Mostly Cloudy
48,11,8/27/2016,85.19,Clear
49,26,8/28/2016,86.8,Humid
50,14,8/29/2016,75.44,Overcast
51,15,8/30/2016,80.93,Clear
52,17,8/31/2016,78.68,Mostly Cloudy
53,22,9/1/2016,73.89,Partly Cloudy
54,52,9/2/2016,72.77,Clear
55,40,9/3/2016,74.71,Clear
56,59,9/4/2016,78.41,Clear
57,41,9/5/2016,79.73,Clear
58,33,9/6/2016,82.89,Clear
59,28,9/7/2016,84.41,Humid and Mostly Cloudy
60,54,9/8/2016,85.01,Humid and Partly Cloudy
61,25,9/9/2016,78.28,Overcast
62,51,9/10/2016,85.46,Clear
63,60,9/11/2016,70.31,Mostly Cloudy
64,50,9/12/2016,76.46,Clear
65,13,9/13/2016,80.22,Clear
66,16,9/14/2016,80.63,Clear
67,46,9/15/2016,72.94,Clear
68,47,9/16/2016,77.48,Mostly Cloudy
69,55,9/17/2016,75.79,Mostly Cloudy
70,35,9/18/2016,71.46,Overcast
71,36,9/19/2016,71.83,Overcast
72,49,9/20/2016,79.34,Clear
73,23,9/21/2016,80.22,Clear
74,66,9/22/2016,80.67,Clear
75,31,9/23/2016,82.46,Clear
76,67,9/24/2016,69.45,Overcast
77,69,9/25/2016,69.25,Clear
78,68,9/26/2016,78.95,Clear
79,70,9/27/2016,67.75,Clear
80,71,9/28/2016,71.23,Clear
81,76,9/29/2016,65.94,Overcast
82,75,9/30/2016,65.4,Overcast
83,73,10/1/2016,70.24,Overcast
84,74,10/2/2016,63.66,Overcast
85,77,10/3/2016,64.74,Partly Cloudy
86,79,10/4/2016,69.66,Clear
87,82,10/5/2016,68.89,Clear
88,81,10/6/2016,70.11,Clear
89,85,10/7/2016,72.5,Clear
90,84,10/8/2016,62.95,Overcast
91,83,10/9/2016,56.61,Mostly Cloudy
92,87,10/10/2016,54.19,Clear
93,86,10/11/2016,62.84,Clear
94,88,10/12/2016,68.26,Clear
95,89,10/13/2016,56.64,Drizzle
96,91,10/14/2016,54.47,Clear
97,90,10/15/2016,67.86,Clear
98,99,10/16/2016,72.49,Clear
99,92,10/17/2016,71.93,Mostly Cloudy
100,93,10/18/2016,77.32,Clear
101,94,10/19/2016,73.18,Mostly Cloudy
102,104,10/20/2016,77.93,Clear
103,100,10/21/2016,55.37,Light Rain
104,98,10/22/2016,45.37,Overcast
105,95,10/23/2016,57.64,Clear
106,97,10/24/2016,56.66,Overcast
107,96,10/25/2016,51.25,Mostly Cloudy
108,102,10/26/2016,49.95,Clear
109,103,10/27/2016,61.62,Drizzle
110,101,10/28/2016,49.11,Overcast
111,105,10/29/2016,69.09,Clear
112,106,10/30/2016,72.15,Clear
113,108,10/31/2016,51.35,Clear
114,107,11/1/2016,68.66,Mostly Cloudy
115,109,11/2/2016,74.12,Clear
116,110,11/3/2016,63.69,Overcast
117,112,11/4/2016,53.96,Clear
118,114,11/5/2016,54.61,Clear
119,111,11/6/2016,59.47,Clear
120,115,11/7/2016,64.26,Clear
121,113,11/8/2016,64.64,Clear
122,117,11/9/2016,50.35,Overcast
123,116,11/10/2016,54.08,Clear
124,119,11/11/2016,56.25,Mostly Cloudy
125,118,11/12/2016,43.84,Clear
126,121,11/13/2016,50.91,Clear
127,120,11/14/2016,54.77,Clear
128,122,11/15/2016,55.6,Clear
129,124,11/16/2016,55.56,Overcast
130,123,11/17/2016,55.21,Clear
131,125,11/18/2016,69.91,Clear
132,128,11/19/2016,38.06,Rain
133,126,11/20/2016,32.82,Overcast
134,135,11/21/2016,32.55,Overcast
135,136,11/22/2016,36.35,Mostly Cloudy
136,129,11/23/2016,44.73,Clear
137,142,11/24/2016,51.46,Overcast
138,137,11/25/2016,45.68,Overcast
139,138,11/26/2016,40.13,Overcast
140,127,11/27/2016,43.34,Overcast
141,134,11/28/2016,47.26,Mostly Cloudy
142,131,11/29/2016,59.9,Overcast
143,130,11/30/2016,56.75,Drizzle
144,132,12/1/2016,40.48,Overcast
145,133,12/2/2016,37.81,Overcast
146,143,12/3/2016,37.38,Overcast
147,139,12/4/2016,39.75,Clear
148,141,12/5/2016,42.1,Overcast
149,140,12/6/2016,40.45,Light Rain
150,144,12/7/2016,39.67,Clear
151,146,12/8/2016,33.92,Overcast
152,145,12/9/2016,26.08,Overcast
153,151,12/10/2016,26.96,Overcast
154,150,12/11/2016,30.6,Overcast
155,149,12/12/2016,41.44,Overcast
156,148,12/13/2016,32.61,Foggy
157,153,12/14/2016,27.16,Clear
158,152,12/15/2016,13.29,Overcast
159,154,12/16/2016,14.61,Overcast
160,156,12/17/2016,35.57,Overcast
161,169,12/18/2016,31.55,Overcast
162,155,12/19/2016,26.87,Mostly Cloudy
163,157,12/20/2016,31.97,Clear
164,158,12/21/2016,36.54,Clear
165,160,12/22/2016,38.42,Overcast
166,162,12/23/2016,37.99,Clear
167,170,12/24/2016,46.91,Overcast
168,177,12/25/2016,40.23,Overcast
169,165,12/26/2016,57.92,Overcast
170,164,12/27/2016,47.49,Clear
171,159,12/28/2016,38.73,Partly Cloudy
172,161,12/29/2016,40.94,Overcast
173,175,12/30/2016,32.17,Overcast
174,166,12/31/2016,42.29,Overcast
175,168,1/1/2017,42.08,Clear
176,163,1/2/2017,47.69,Foggy
177,171,1/3/2017,46.65,Rain
178,172,1/4/2017,38.26,Mostly Cloudy
179,174,1/5/2017,23.8,Overcast
180,173,1/6/2017,16.87,Partly Cloudy
181,176,1/7/2017,16.01,Overcast
182,184,1/8/2017,15.97,Mostly Cloudy
183,178,1/9/2017,21.75,Overcast
184,179,1/10/2017,38.78,Overcast
185,180,1/11/2017,53.48,Clear
186,181,1/12/2017,65.85,Overcast
187,182,1/13/2017,35.99,Mostly Cloudy
188,183,1/14/2017,35,Overcast
189,187,1/15/2017,34.62,Clear
190,188,1/16/2017,36.74,Overcast
191,185,1/17/2017,58.26,Overcast
192,186,1/18/2017,42.19,Overcast
193,189,1/19/2017,40.95,Overcast
194,190,1/20/2017,51.77,Overcast
195,191,1/21/2017,63.13,Clear
196,195,1/22/2017,57.67,Overcast
197,193,1/23/2017,44.66,Light Rain
198,194,1/24/2017,40.57,Overcast
199,196,1/25/2017,49.03,Clear
200,199,1/26/2017,38.11,Overcast
201,200,1/27/2017,32.84,Overcast
202,197,1/28/2017,32.27,Overcast
203,206,1/29/2017,32.06,Overcast
204,207,1/30/2017,27.85,Overcast
205,208,1/31/2017,40.02,Overcast
206,209,2/1/2017,36.83,Light Snow
207,210,2/2/2017,34.51,Overcast
208,212,2/3/2017,26.69,Partly Cloudy
209,211,2/4/2017,28.3,Clear
210,215,2/5/2017,39.94,Overcast
211,216,2/6/2017,48.49,Clear
212,213,2/7/2017,58.73,Drizzle
213,214,2/8/2017,46.25,Overcast
214,218,2/9/2017,25.8,Foggy
215,217,2/10/2017,24.46,Overcast
216,220,2/11/2017,53.51,Clear
217,219,2/12/2017,59.99,Drizzle
218,221,2/13/2017,36.1,Overcast
219,222,2/14/2017,44.03,Clear
220,223,2/15/2017,35.74,Overcast
221,224,2/16/2017,28.02,Overcast
222,225,2/17/2017,47.47,Clear
223,226,2/18/2017,62.59,Clear
224,227,2/19/2017,56,Mostly Cloudy
225,228,2/20/2017,55.29,Clear
226,229,2/21/2017,64.11,Clear
227,230,2/22/2017,63.59,Overcast
228,231,2/23/2017,67.31,Mostly Cloudy
229,232,2/24/2017,74.17,Clear
230,233,2/25/2017,48.1,Overcast
231,234,2/26/2017,33.36,Overcast
232,238,2/27/2017,46.13,Overcast
233,236,2/28/2017,55.72,Overcast
234,237,3/1/2017,54.83,Rain
235,235,3/2/2017,37.09,Overcast
236,241,3/3/2017,30.95,Overcast
237,239,3/4/2017,31.67,Clear
238,243,3/5/2017,39.71,Clear
239,240,3/6/2017,55.15,Overcast
240,242,3/7/2017,58.42,Drizzle
241,245,3/8/2017,54.17,Clear
